bodyId_pre,bodyId_post,instance_pre,instance_post,type_pre,type_post,weight
1807572051,1312061760,LC17,AVLP572_R,LC17,AVLP572,2
1807572051,1321305370,LC17,PVLP061_R,LC17,PVLP061,72
1807572051,1347812305,LC17,LC17(lVLPT7)_R,LC17,LC17,4
1807572051,1354394414,LC17,PVLP120_R,LC17,PVLP120,15
1807572051,1374063129,LC17,PVLP132_R,LC17,PVLP132,15
1807572051,1375769049,LC17,LC17,LC17,LC17,2
1807572051,1382308349,LC17,PVLP071_R,LC17,PVLP071,2
1807572051,1435791739,LC17,PVLP132_R,LC17,PVLP132,12
1807572051,1449486007,LC17,AVLP537_R,LC17,AVLP537,5
1807572051,1474424990,LC17,PVLP073_R,LC17,PVLP073,4
1807572051,1477148598,LC17,PVLP075_R,LC17,PVLP075,4
1807572051,1479147574,LC17,PVLP072_R,LC17,PVLP072,11
1807572051,1479492693,LC17,PVLP072_R,LC17,PVLP072,2
1807572051,1508123633,LC17,PVLP018_R,LC17,PVLP018,9
1807572051,1512232956,LC17,AVLP135_R,LC17,AVLP135,2
1807572051,1535082316,LC17,PVLP135_R,LC17,PVLP135,17
1807572051,1535086505,LC17,PVLP135_R,LC17,PVLP135,23
1807572051,1539496112,LC17,PVLP073_R,LC17,PVLP073,3
1807572051,1562707421,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1807572051,1593012939,LC17,LC17,LC17,LC17,3
1807572051,1603645798,LC17,PVLP072_R,LC17,PVLP072,8
1807572051,1603957106,LC17,AVLP409_R,LC17,AVLP409,2
1807572051,1628528573,LC17,LC17,LC17,LC17,2
1807572051,1629163100,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1807572051,1630342162,LC17,PVLP036_R,LC17,PVLP036,9
1807572051,1658881325,LC17,LC17,LC17,LC17,3
1807572051,1663639752,LC17,NA,LC17,NA,2
1807572051,1690694192,LC17,PVLP036_R,LC17,PVLP036,13
1807572051,1695693354,LC17,PVLP072_R,LC17,PVLP072,8
1807572051,1714791446,LC17,LC17,LC17,LC17,2
1807572051,1720105182,LC17,NA,LC17,NA,4
1807572051,1722307233,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1807572051,1751666374,LC17,LC17,LC17,LC17,2
1807572051,1753670596,LC17,LC17(lVLPT4)_R,LC17,LC17,2
1807572051,1754019541,LC17,LC17,LC17,LC17,2
1807572051,1776865370,LC17,LC17,LC17,LC17,2
1807572051,1781324410,LC17,LC17,LC17,LC17,2
1807572051,1783361972,LC17,LC17,LC17,LC17,2
1807572051,1783690466,LC17,LC17,LC17,LC17,2
1807572051,1813382259,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1807572051,1814410124,LC17,LC17,LC17,LC17,4
1807572051,1814729223,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1807572051,1817107934,LC17,LC17,LC17,LC17,3
1807572051,1817112855,LC17,LC17,LC17,LC17,2
1807572051,1817449059,LC17,LC17,LC17,LC17,4
1807572051,1817449236,LC17,LC17,LC17,LC17,6
1807572051,1817449375,LC17,LC17,LC17,LC17,3
1807572051,1817453257,LC17,LC17,LC17,LC17,2
1807572051,1817457847,LC17,LC17,LC17,LC17,3
1807572051,1817457984,LC17,LC17,LC17,LC17,3
1807572051,1817785682,LC17,LC17,LC17,LC17,2
1807572051,1817786077,LC17,LC17,LC17,LC17,2
1807572051,1818122205,LC17,LC17,LC17,LC17,3
1807572051,1818136404,LC17,LC17,LC17,LC17,3
1807572051,1845772658,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1807572051,1848151236,LC17,LC17,LC17,LC17,2
1807572051,1848156241,LC17,LC17,LC17,LC17,4
1807572051,1848492258,LC17,LC17,LC17,LC17,2
1807572051,1848506334,LC17,NA,LC17,NA,3
1807572051,1848820426,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1807572051,1848828925,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1807572051,1849157449,LC17,NA,LC17,NA,2
1807572051,1875124235,LC17,LC17,LC17,LC17,2
1807572051,1875460978,LC17,LC17,LC17,LC17,3
1807572051,1878845629,LC17,LC17,LC17,LC17,2
1807572051,1879226079,LC17,NA,LC17,NA,4
1807572051,1879872446,LC17,NA,LC17,NA,2
1807572051,1879877415,LC17,LC17(lVLPT4)_R,LC17,LC17,2
1807572051,1880887003,LC17,LC17,LC17,LC17,4
1807572051,1908865507,LC17,LC17,LC17,LC17,3
1807572051,1910920228,LC17,NA,LC17,NA,4
1807572051,1911231415,LC17,NA,LC17,NA,3
1807572051,1937193993,LC17,LC17,LC17,LC17,2
1807572051,1941955396,LC17,NA,LC17,NA,3
1807572051,1941960033,LC17,NA,LC17,NA,6
1807572051,1942611743,LC17,NA,LC17,NA,2
1807572051,1973331279,LC17,NA,LC17,NA,2
1807572051,2003338757,LC17,NA,LC17,NA,3
1807572051,2004029710,LC17,NA,LC17,NA,2
1807572051,2066095436,LC17,NA,LC17,NA,2
1807572051,5812992219,LC17,LC17,LC17,LC17,2
1807572051,5812992468,LC17,LC17,LC17,LC17,2
1807572051,5812999009,LC17,LC17(lVLPT4)_R,LC17,LC17,2
1807572051,5813017315,LC17,AVLP479_R,LC17,AVLP479,6
1807572051,5813039148,LC17,PVLP011_R,LC17,PVLP011,56
1807572051,5813054384,LC17,PPM1203_R,LC17,PPM1203,2
1807572051,5813057579,LC17,AVLP538_R,LC17,AVLP538,17
1807572051,5813077633,LC17,AVLP479_R,LC17,AVLP479,7
1808241116,447228814,LC17,PVLP106_R,LC17,PVLP106,40
1808241116,1068885266,LC17,PVLP151(SCB004)_R,LC17,PVLP151,9
1808241116,1070950293,LC17,PVLP151(SCB004)_R,LC17,PVLP151,7
1808241116,1158877783,LC17,LC17,LC17,LC17,4
1808241116,1190250299,LC17,LC17,LC17,LC17,2
1808241116,1250277991,LC17,LC17,LC17,LC17,2
1808241116,1321305370,LC17,PVLP061_R,LC17,PVLP061,61
1808241116,1347812305,LC17,LC17(lVLPT7)_R,LC17,LC17,4
1808241116,1354394414,LC17,PVLP120_R,LC17,PVLP120,8
1808241116,1374063129,LC17,PVLP132_R,LC17,PVLP132,8
1808241116,1381997776,LC17,PVLP071_R,LC17,PVLP071,5
1808241116,1382308349,LC17,PVLP071_R,LC17,PVLP071,4
1808241116,1405788552,LC17,LC17,LC17,LC17,2
1808241116,1435791739,LC17,PVLP132_R,LC17,PVLP132,12
1808241116,1449486007,LC17,AVLP537_R,LC17,AVLP537,8
1808241116,1466844031,LC17,LC17,LC17,LC17,2
1808241116,1471610338,LC17,LC17,LC17,LC17,3
1808241116,1473648518,LC17,LC17,LC17,LC17,2
1808241116,1479147574,LC17,PVLP072_R,LC17,PVLP072,12
1808241116,1497200791,LC17,LC17,LC17,LC17,2
1808241116,1508123633,LC17,PVLP018_R,LC17,PVLP018,6
1808241116,1528577476,LC17,LC17,LC17,LC17,2
1808241116,1535082316,LC17,PVLP135_R,LC17,PVLP135,14
1808241116,1535086505,LC17,PVLP135_R,LC17,PVLP135,21
1808241116,1561301125,LC17,LC17,LC17,LC17,4
1808241116,1563355501,LC17,LC17,LC17,LC17,3
1808241116,1603645798,LC17,PVLP072_R,LC17,PVLP072,7
1808241116,1629163100,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1808241116,1630342162,LC17,PVLP036_R,LC17,PVLP036,15
1808241116,1687831632,LC17,LC17,LC17,LC17,2
1808241116,1690694192,LC17,PVLP036_R,LC17,PVLP036,2
1808241116,1695693354,LC17,PVLP072_R,LC17,PVLP072,2
1808241116,1720105182,LC17,NA,LC17,NA,2
1808241116,1720454234,LC17,NA,LC17,NA,3
1808241116,1724345210,LC17,NA,LC17,NA,3
1808241116,1747181914,LC17,LC17,LC17,LC17,2
1808241116,1747518018,LC17,LC17,LC17,LC17,2
1808241116,1748187330,LC17,LC17,LC17,LC17,2
1808241116,1781324410,LC17,LC17,LC17,LC17,2
1808241116,1783690466,LC17,LC17,LC17,LC17,2
1808241116,1813028777,LC17,LC17,LC17,LC17,2
1808241116,1814729223,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1808241116,1817112807,LC17,LC17(lVLPT4)_R,LC17,LC17,5
1808241116,1817444670,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1808241116,1817449059,LC17,LC17,LC17,LC17,2
1808241116,1817449229,LC17,LC17,LC17,LC17,2
1808241116,1817449236,LC17,LC17,LC17,LC17,2
1808241116,1817449375,LC17,LC17,LC17,LC17,4
1808241116,1817453065,LC17,LC17,LC17,LC17,2
1808241116,1817453257,LC17,LC17,LC17,LC17,2
1808241116,1817457808,LC17,LC17,LC17,LC17,2
1808241116,1817463007,LC17,LC17,LC17,LC17,2
1808241116,1817785682,LC17,LC17,LC17,LC17,2
1808241116,1817790176,LC17,LC17,LC17,LC17,3
1808241116,1817794820,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1808241116,1818122205,LC17,LC17,LC17,LC17,3
1808241116,1848483949,LC17,LC17(lVLPT4)_R,LC17,LC17,3
1808241116,1848506334,LC17,NA,LC17,NA,3
1808241116,1849179266,LC17,LC17,LC17,LC17,2
1808241116,1876820783,LC17,LC17,LC17,LC17,2
1808241116,1878845629,LC17,LC17,LC17,LC17,3
1808241116,1879519066,LC17,LC17,LC17,LC17,2
1808241116,1880209425,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1808241116,1908865507,LC17,LC17,LC17,LC17,2
1808241116,1910920474,LC17,NA,LC17,NA,2
1808241116,1941955396,LC17,NA,LC17,NA,2
1808241116,5812991769,LC17,LC17,LC17,LC17,3
1808241116,5812998833,LC17,LC17,LC17,LC17,4
1808241116,5813017315,LC17,AVLP479_R,LC17,AVLP479,5
1808241116,5813027276,LC17,AVLP080_R,LC17,AVLP080,2
1808241116,5813039148,LC17,PVLP011_R,LC17,PVLP011,44
1808241116,5813057579,LC17,AVLP538_R,LC17,AVLP538,6
1808241116,5813076492,LC17,LC17,LC17,LC17,2
1808241116,5813077633,LC17,AVLP479_R,LC17,AVLP479,4
1808241116,5813080260,LC17,AVLP153_R,LC17,AVLP153,2
1812363713,447228814,LC17,PVLP106_R,LC17,PVLP106,44
1812363713,1190250299,LC17,LC17,LC17,LC17,3
1812363713,1250277991,LC17,LC17,LC17,LC17,3
1812363713,1312061760,LC17,AVLP572_R,LC17,AVLP572,3
1812363713,1321305370,LC17,PVLP061_R,LC17,PVLP061,65
1812363713,1354394414,LC17,PVLP120_R,LC17,PVLP120,10
1812363713,1374063129,LC17,PVLP132_R,LC17,PVLP132,14
1812363713,1381997776,LC17,PVLP071_R,LC17,PVLP071,3
1812363713,1382308349,LC17,PVLP071_R,LC17,PVLP071,5
1812363713,1435791739,LC17,PVLP132_R,LC17,PVLP132,17
1812363713,1449486007,LC17,AVLP537_R,LC17,AVLP537,8
1812363713,1471607030,LC17,LC17,LC17,LC17,2
1812363713,1477148598,LC17,PVLP075_R,LC17,PVLP075,2
1812363713,1479147574,LC17,PVLP072_R,LC17,PVLP072,7
1812363713,1479492693,LC17,PVLP072_R,LC17,PVLP072,3
1812363713,1508123633,LC17,PVLP018_R,LC17,PVLP018,7
1812363713,1535082316,LC17,PVLP135_R,LC17,PVLP135,12
1812363713,1535086505,LC17,PVLP135_R,LC17,PVLP135,17
1812363713,1562707421,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1812363713,1603645798,LC17,PVLP072_R,LC17,PVLP072,5
1812363713,1625800608,LC17,LC17,LC17,LC17,2
1812363713,1630342162,LC17,PVLP036_R,LC17,PVLP036,8
1812363713,1690694192,LC17,PVLP036_R,LC17,PVLP036,15
1812363713,1690698128,LC17,PVLP036_R,LC17,PVLP036,3
1812363713,1690917721,LC17,LC17,LC17,LC17,2
1812363713,1695693354,LC17,PVLP072_R,LC17,PVLP072,7
1812363713,1720105182,LC17,NA,LC17,NA,5
1812363713,1747181914,LC17,LC17,LC17,LC17,3
1812363713,1747518018,LC17,LC17,LC17,LC17,2
1812363713,1748187330,LC17,LC17,LC17,LC17,2
1812363713,1754019541,LC17,LC17,LC17,LC17,2
1812363713,1781324410,LC17,LC17,LC17,LC17,3
1812363713,1782680353,LC17,LC17,LC17,LC17,5
1812363713,1807572051,LC17,LC17,LC17,LC17,2
