path,bodyId,type,weight,size,source,target
5,859839499,AVLP532,26,3,5813077633,981000564
5,947573616,AVLP016,10,3,5813077633,981000564
5,981000564,DNp42,12,3,5813077633,981000564
6,5813077633,AVLP479,0,3,5813077633,981000564
6,979627466,CL065,12,3,5813077633,981000564
6,947573616,AVLP016,170,3,5813077633,981000564
6,981000564,DNp42,12,3,5813077633,981000564
7,5813077633,AVLP479,0,3,5813077633,981000564
7,1043700892,AVLP369,12,3,5813077633,981000564
7,947573616,AVLP016,43,3,5813077633,981000564
7,981000564,DNp42,12,3,5813077633,981000564
8,5813077633,AVLP479,0,3,5813077633,981000564
8,797442049,AVLP280,23,3,5813077633,981000564
8,947573616,AVLP016,231,3,5813077633,981000564
8,981000564,DNp42,12,3,5813077633,981000564
9,5813077633,AVLP479,0,3,5813077633,981000564
9,1321352281,AVLP163,33,3,5813077633,981000564
9,947573616,AVLP016,37,3,5813077633,981000564
9,981000564,DNp42,12,3,5813077633,981000564
10,5813077633,AVLP479,0,3,5813077633,981000564
10,5813056261,CL361,33,3,5813077633,981000564
10,947573616,AVLP016,187,3,5813077633,981000564
10,981000564,DNp42,12,3,5813077633,981000564
11,5813077633,AVLP479,0,3,5813077633,981000564
11,1136407269,AVLP081,103,3,5813077633,981000564
11,947573616,AVLP016,18,3,5813077633,981000564
11,981000564,DNp42,12,3,5813077633,981000564
12,5813077633,AVLP479,0,3,5813077633,981000564
12,5813057579,AVLP538,111,3,5813077633,981000564
12,947573616,AVLP016,39,3,5813077633,981000564
12,981000564,DNp42,12,3,5813077633,981000564
13,5813077633,AVLP479,0,3,5813077633,981000564
13,950880008,AVLP079,150,3,5813077633,981000564
13,947573616,AVLP016,277,3,5813077633,981000564
13,981000564,DNp42,12,3,5813077633,981000564
14,5813077633,AVLP479,0,3,5813077633,981000564
14,5813027276,AVLP080,14,3,5813077633,981000564
14,1167541601,,65,3,5813077633,981000564
14,981000564,DNp42,12,3,5813077633,981000564
15,5813077633,AVLP479,0,3,5813077633,981000564
15,950880008,AVLP079,150,3,5813077633,981000564
15,1167541601,,20,3,5813077633,981000564
15,981000564,DNp42,12,3,5813077633,981000564
16,5813077633,AVLP479,0,3,5813077633,981000564
16,859839499,AVLP532,26,3,5813077633,981000564
16,1666751599,AVLP103,59,3,5813077633,981000564
16,981000564,DNp42,11,3,5813077633,981000564
17,5813077633,AVLP479,0,3,5813077633,981000564
17,979627466,CL065,12,3,5813077633,981000564
17,760993807,CL080,14,3,5813077633,981000564
17,981000564,DNp42,36,3,5813077633,981000564
18,5813077633,AVLP479,0,3,5813077633,981000564
18,859839499,AVLP532,26,3,5813077633,981000564
18,454002974,CL110,10,3,5813077633,981000564
18,981000564,DNp42,12,3,5813077633,981000564
19,5813077633,AVLP479,0,3,5813077633,981000564
19,979627466,CL065,12,3,5813077633,981000564
19,454002974,CL110,10,3,5813077633,981000564
19,981000564,DNp42,12,3,5813077633,981000564
20,5813077633,AVLP479,0,3,5813077633,981000564
20,673639143,AVLP215,24,3,5813077633,981000564
20,5813015973,,15,3,5813077633,981000564
20,981000564,DNp42,22,3,5813077633,981000564
21,5813077633,AVLP479,0,3,5813077633,981000564
21,1138518446,AVLP297,14,3,5813077633,981000564
21,580227374,AVLP029,15,3,5813077633,981000564
21,981000564,DNp42,14,3,5813077633,981000564
22,5813077633,AVLP479,0,3,5813077633,981000564
22,1508144735,AVLP291,11,3,5813077633,981000564
22,580227374,AVLP029,29,3,5813077633,981000564
22,981000564,DNp42,14,3,5813077633,981000564
23,5813077633,AVLP479,0,3,5813077633,981000564
23,735470654,AVLP563,16,3,5813077633,981000564
23,792368888,MBON20,36,3,5813077633,981000564
23,981000564,DNp42,94,3,5813077633,981000564
24,5813077633,AVLP479,0,3,5813077633,981000564
24,673639143,AVLP215,24,3,5813077633,981000564
24,1167796848,AVLP176_b,27,3,5813077633,981000564
24,981000564,DNp42,23,3,5813077633,981000564
25,5813077633,AVLP479,0,3,5813077633,981000564
25,797442049,AVLP280,23,3,5813077633,981000564
25,1167796848,AVLP176_b,21,3,5813077633,981000564
25,981000564,DNp42,23,3,5813077633,981000564
26,5813077633,AVLP479,0,3,5813077633,981000564
26,735470654,AVLP563,16,3,5813077633,981000564
26,362473525,AstA1,10,3,5813077633,981000564
26,981000564,DNp42,22,3,5813077633,981000564
27,5813077633,AVLP479,0,3,5813077633,981000564
27,1321564092,AVLP001,50,3,5813077633,981000564
27,5813070613,AVLP099,69,3,5813077633,981000564
27,981000564,DNp42,13,3,5813077633,981000564
28,5813077633,AVLP479,0,3,5813077633,981000564
28,859839499,AVLP532,26,3,5813077633,981000564
28,5813070613,AVLP099,14,3,5813077633,981000564
28,981000564,DNp42,13,3,5813077633,981000564
29,5813077633,AVLP479,0,3,5813077633,981000564
29,950880008,AVLP079,150,3,5813077633,981000564
29,5813070613,AVLP099,11,3,5813077633,981000564
29,981000564,DNp42,13,3,5813077633,981000564
30,5813077633,AVLP479,0,3,5813077633,981000564
30,5813027276,AVLP080,14,3,5813077633,981000564
30,1230902952,AVLP099,16,3,5813077633,981000564
30,981000564,DNp42,17,3,5813077633,981000564
31,5813077633,AVLP479,0,3,5813077633,981000564
31,1321564092,AVLP001,50,3,5813077633,981000564
31,1230902952,AVLP099,37,3,5813077633,981000564
31,981000564,DNp42,17,3,5813077633,981000564
32,5813077633,AVLP479,0,3,5813077633,981000564
32,859839499,AVLP532,26,3,5813077633,981000564
32,1230902952,AVLP099,29,3,5813077633,981000564
32,981000564,DNp42,17,3,5813077633,981000564
33,5813077633,AVLP479,0,3,5813077633,981000564
33,979627466,CL065,12,3,5813077633,981000564
33,549282467,SMP593,40,3,5813077633,981000564
33,981000564,DNp42,17,3,5813077633,981000564
34,5813077633,AVLP479,0,3,5813077633,981000564
34,797442049,AVLP280,23,3,5813077633,981000564
34,549282467,SMP593,19,3,5813077633,981000564
34,981000564,DNp42,17,3,5813077633,981000564
35,5813077633,AVLP479,0,3,5813077633,981000564
35,673639143,AVLP215,24,3,5813077633,981000564
35,481657750,AVLP030,10,3,5813077633,981000564
35,981000564,DNp42,11,3,5813077633,981000564
36,5813077633,AVLP479,0,3,5813077633,981000564
36,1321564092,AVLP001,50,3,5813077633,981000564
36,481657750,AVLP030,11,3,5813077633,981000564
36,981000564,DNp42,11,3,5813077633,981000564
